,Date,Rainfall (In)
390,2015-05-26,0.0
274,2015-05-27,0.0
406,2015-05-28,0.0
200,2015-06-01,0.0
178,2015-06-02,0.0
430,2015-06-03,0.0
392,2015-06-04,0.0
409,2015-06-09,0.0
420,2015-06-10,0.0
283,2015-06-11,0.0
179,2015-06-12,0.0
323,2015-06-16,0.0
419,2015-06-17,0.0
325,2015-06-18,0.0
378,2015-06-19,0.0
388,2015-06-23,0.0
366,2015-06-24,0.0
423,2015-06-25,0.0
428,2015-06-26,0.0
331,2015-06-30,0.0
265,2015-07-01,0.0
408,2015-07-02,0.0
421,2015-07-07,0.0
191,2015-07-08,0.0
427,2015-07-09,0.0
316,2015-07-10,0.0
412,2015-07-14,0.0
396,2015-07-15,0.0
363,2015-07-16,0.0
205,2015-07-17,0.0
411,2015-07-21,0.0
328,2015-07-22,0.0
321,2015-07-23,0.0
431,2015-07-24,0.0
367,2015-07-28,0.0
395,2015-07-29,0.0
416,2015-07-30,0.0
429,2015-07-31,0.0
362,2015-08-04,0.0
359,2015-08-05,0.0
389,2015-08-06,0.0
337,2015-08-07,0.0
394,2015-08-11,0.0
307,2015-08-12,0.0
432,2015-08-13,0.0
398,2015-08-14,0.0
415,2015-08-18,0.0
314,2015-08-19,0.0
426,2015-08-20,0.0
385,2015-08-21,0.0
233,2015-08-25,0.0
422,2015-08-26,0.0
361,2015-08-27,0.0
341,2015-08-28,0.0
106,2016-05-26,0.0
94,2016-06-01,0.0
87,2016-06-02,0.0
140,2016-06-03,0.0
133,2016-06-04,0.0
130,2016-06-05,0.0
98,2016-06-08,0.0
122,2016-06-09,0.0
86,2016-06-10,0.0
109,2016-06-11,0.0
81,2016-06-12,0.0
111,2016-06-15,0.0
128,2016-06-16,0.0
134,2016-06-17,0.0
137,2016-06-18,0.0
105,2016-06-19,0.0
120,2016-06-22,0.0
77,2016-06-23,0.0
95,2016-06-24,0.0
131,2016-06-25,0.0
132,2016-06-26,0.0
92,2016-06-29,0.0
80,2016-06-30,0.0
129,2016-07-01,0.0
139,2016-07-02,0.0
125,2016-07-03,0.0
82,2016-07-06,0.0
141,2016-07-07,0.0
99,2016-07-08,0.0
83,2016-07-09,0.0
107,2016-07-10,0.0
101,2016-07-13,0.0
123,2016-07-14,0.0
138,2016-07-15,0.0
96,2016-07-16,0.0
251,2016-07-17,0.0
93,2016-07-20,0.0
116,2016-07-21,0.0
78,2016-07-22,0.0
76,2016-07-23,0.0
91,2016-07-24,0.1
118,2016-07-27,0.0
119,2016-07-28,0.0
108,2016-07-29,0.0
115,2016-07-30,0.0
71,2016-07-31,0.0
127,2016-08-03,0.0
90,2016-08-04,0.0
142,2016-08-05,0.0
112,2016-08-06,0.0
103,2016-08-07,0.0
117,2016-08-10,0.0
89,2016-08-11,0.0
70,2016-08-12,0.0
79,2016-08-14,0.0
126,2016-08-17,0.0
100,2016-08-18,0.0
102,2016-08-19,0.0
114,2016-08-20,0.0
88,2016-08-21,0.0
121,2016-08-24,0.0
72,2016-08-25,0.0
84,2016-08-26,0.0
104,2016-08-27,0.0
136,2016-08-28,0.0
124,2016-08-31,0.0
110,2016-09-01,0.0
85,2016-09-02,0.0
135,2016-09-03,0.0
113,2016-09-04,0.0
290,2017-05-26,0.0
311,2017-05-27,0.0
186,2017-05-28,0.0
277,2017-05-29,0.0
380,2017-05-30,0.0
418,2017-05-31,0.0
264,2017-06-01,0.0
267,2017-06-02,0.0
399,2017-06-03,0.0
326,2017-06-04,0.0
308,2017-06-05,0.0
195,2017-06-06,0.0
317,2017-06-07,0.0
278,2017-06-08,0.0
227,2017-06-09,0.0
336,2017-06-10,0.0
226,2017-06-11,0.0
234,2017-06-12,0.0
232,2017-06-13,0.0
218,2017-06-14,0.0
192,2017-06-15,0.0
208,2017-06-16,0.0
401,2017-06-17,0.0
410,2017-06-18,0.0
391,2017-06-19,0.0
296,2017-06-20,0.0
245,2017-06-21,0.0
247,2017-06-22,0.0
183,2017-06-23,0.0
286,2017-06-24,0.0
384,2017-06-25,0.0
185,2017-06-26,0.0
190,2017-06-27,0.0
382,2017-06-28,0.1
66,2017-06-29,0.0
279,2017-06-30,0.0
329,2017-07-01,0.0
346,2017-07-02,0.0
256,2017-07-03,0.0
294,2017-07-04,0.0
348,2017-07-05,0.0
249,2017-07-06,0.0
300,2017-07-07,0.0
282,2017-07-08,0.0
364,2017-07-09,0.1
357,2017-07-10,0.0
258,2017-07-11,0.0
244,2017-07-12,0.0
343,2017-07-13,0.0
222,2017-07-14,0.0
344,2017-07-15,0.0
231,2017-07-16,0.0
203,2017-07-17,0.0
239,2017-07-18,0.0
193,2017-07-19,0.0
330,2017-07-20,0.0
261,2017-07-21,0.1
285,2017-07-22,0.0
358,2017-07-23,0.0
255,2017-07-24,0.0
67,2017-07-25,0.0
417,2017-07-26,0.0
254,2017-07-27,0.0
353,2017-07-28,0.0
207,2017-07-29,0.0
281,2017-07-30,0.0
350,2017-07-31,0.0
338,2017-08-01,0.0
194,2017-08-02,0.0
235,2017-08-03,0.0
270,2017-08-04,0.0
291,2017-08-05,0.0
303,2017-08-06,0.0
242,2017-08-07,0.0
312,2017-08-08,0.0
61,2017-08-09,0.0
58,2017-08-10,0.0
187,2017-08-11,0.0
304,2017-08-12,0.0
293,2017-08-13,0.0
387,2017-08-14,0.0
379,2017-08-15,0.0
253,2017-08-16,0.0
216,2017-08-17,0.0
252,2017-08-18,0.0
313,2017-08-19,0.0
345,2017-08-20,0.0
60,2017-08-21,0.0
414,2017-08-22,0.0
213,2017-08-23,0.0
220,2017-08-24,0.0
365,2017-08-25,0.0
184,2017-08-26,0.0
241,2017-08-27,0.0
246,2017-08-28,0.1
368,2017-08-29,0.0
327,2017-08-30,0.0
287,2017-08-31,0.0
65,2017-09-01,0.0
370,2017-09-02,0.0
262,2017-09-03,0.0
342,2017-09-04,0.0
209,2018-05-25,0.0
225,2018-05-26,0.0
272,2018-05-27,0.0
215,2018-05-28,0.1
263,2018-05-29,0.0
217,2018-05-30,0.0
375,2018-05-31,0.2
373,2018-06-01,0.0
284,2018-06-02,0.0
318,2018-06-03,0.0
292,2018-06-04,0.0
309,2018-06-05,0.0
211,2018-06-06,0.0
259,2018-06-07,0.0
322,2018-06-08,0.0
403,2018-06-09,0.0
201,2018-06-10,0.0
335,2018-06-11,0.0
402,2018-06-12,0.0
305,2018-06-13,0.0
310,2018-06-14,0.0
299,2018-06-15,0.0
424,2018-06-16,0.0
228,2018-06-17,0.0
243,2018-06-18,0.1
297,2018-06-19,0.0
214,2018-06-20,0.0
271,2018-06-21,0.0
289,2018-06-22,0.0
206,2018-06-23,0.0
407,2018-06-24,0.0
405,2018-06-25,0.0
273,2018-06-26,0.0
377,2018-06-27,0.0
280,2018-06-28,0.0
204,2018-06-29,0.0
223,2018-06-30,0.0
240,2018-07-01,0.0
295,2018-07-02,0.0
236,2018-07-03,0.0
202,2018-07-04,0.0
250,2018-07-05,0.0
212,2018-07-06,0.0
339,2018-07-07,0.0
306,2018-07-08,0.0
196,2018-07-09,0.0
413,2018-07-10,0.0
386,2018-07-11,0.0
189,2018-07-12,0.0
334,2018-07-13,0.0
400,2018-07-14,0.0
298,2018-07-15,0.0
352,2018-07-16,0.0
219,2018-07-17,0.0
266,2018-07-18,0.0
269,2018-07-19,0.0
64,2018-07-20,0.0
221,2018-07-21,0.0
425,2018-07-22,0.0
210,2018-07-23,0.0
360,2018-07-24,0.0
319,2018-07-25,0.0
301,2018-07-26,0.0
268,2018-07-27,0.0
188,2018-07-28,0.0
224,2018-07-29,0.0
351,2018-07-30,0.0
349,2018-07-31,0.0
177,2018-08-01,0.1
404,2018-08-02,0.0
237,2018-08-03,0.0
260,2018-08-04,0.0
354,2018-08-05,0.0
347,2018-08-06,0.0
383,2018-08-07,0.0
315,2018-08-08,0.0
356,2018-08-09,0.0
173,2018-08-10,0.0
320,2018-08-11,0.0
230,2018-08-12,0.0
381,2018-08-13,0.0
371,2018-08-14,0.0
59,2018-08-15,0.0
369,2018-08-16,0.0
397,2018-08-17,0.0
333,2018-08-18,0.0
198,2018-08-19,0.0
248,2018-08-20,0.1
372,2018-08-21,0.0
199,2018-08-22,0.0
180,2018-08-23,0.0
276,2018-08-24,0.0
257,2018-08-25,0.0
374,2018-08-26,0.1
302,2018-08-27,0.0
174,2018-08-28,0.0
324,2018-08-29,0.0
229,2018-08-30,0.0
176,2018-08-31,0.0
393,2018-09-01,0.0
238,2018-09-02,0.0
175,2018-09-03,0.0
182,2019-05-24,0.1
33,2019-05-25,0.4
376,2019-05-26,0.0
181,2019-05-27,0.0
340,2019-05-28,0.1
197,2019-05-29,0.0
288,2019-05-30,0.0
355,2019-05-31,0.2
332,2019-06-01,0.0
275,2019-06-02,0.0
0,2019-06-03,0.0
1,2019-06-04,0.0
4,2019-06-05,0.0
5,2019-06-06,0.0
7,2019-06-07,0.0
8,2019-06-08,0.0
9,2019-06-09,0.0
10,2019-06-10,0.0
11,2019-06-11,0.0
12,2019-06-12,0.30000000000000004
13,2019-06-13,0.1
14,2019-06-14,0.0
15,2019-06-15,0.0
16,2019-06-16,0.0
17,2019-06-17,0.0
18,2019-06-18,0.0
19,2019-06-19,0.2
20,2019-06-20,0.0
21,2019-06-21,0.0
22,2019-06-22,0.0
23,2019-06-23,0.2
24,2019-06-24,0.5
25,2019-06-25,0.0
26,2019-06-26,0.0
27,2019-06-27,0.0
28,2019-06-28,0.30000000000000004
29,2019-06-29,0.0
30,2019-06-30,0.0
31,2019-07-01,0.0
32,2019-07-02,0.1
34,2019-07-03,0.0
35,2019-07-04,0.0
36,2019-07-05,0.0
37,2019-07-06,0.2
38,2019-07-07,0.0
39,2019-07-08,0.0
40,2019-07-09,0.0
41,2019-07-10,0.0
44,2019-07-11,0.0
43,2019-07-12,0.0
42,2019-07-13,0.1
45,2019-07-14,0.0
48,2019-07-15,0.30000000000000004
49,2019-07-16,0.0
50,2019-07-17,0.0
51,2019-07-18,0.30000000000000004
54,2019-07-19,0.0
55,2019-07-20,0.7
56,2019-07-21,0.2
57,2019-07-22,0.0
62,2019-07-23,0.0
63,2019-07-24,0.0
68,2019-07-25,0.0
53,2019-07-26,0.0
73,2019-07-27,0.1
74,2019-07-28,0.2
75,2019-07-29,0.30000000000000004
97,2019-07-30,0.0
143,2019-07-31,0.0
144,2019-08-01,0.0
146,2019-08-02,0.0
147,2019-08-03,0.2
149,2019-08-04,0.0
150,2019-08-05,0.30000000000000004
151,2019-08-06,0.1
152,2019-08-07,0.0
154,2019-08-08,0.0
155,2019-08-09,0.0
156,2019-08-10,0.0
157,2019-08-11,0.0
159,2019-08-12,0.0
160,2019-08-13,0.30000000000000004
161,2019-08-14,0.0
162,2019-08-15,0.0
69,2019-08-16,0.0
164,2019-08-17,0.0
46,2019-08-18,0.0
47,2019-08-19,0.0
52,2019-08-20,0.0
145,2019-08-21,0.0
148,2019-08-22,0.0
153,2019-08-23,0.0
158,2019-08-24,0.0
163,2019-08-25,0.0
165,2019-08-26,0.1
166,2019-08-27,0.0
167,2019-08-28,0.0
168,2019-08-29,0.0
169,2019-08-30,0.0
170,2019-08-31,0.0
171,2019-09-01,0.0
172,2019-09-02,0.0
2,2020-07-06,0.0
6,2020-07-07,0.2
3,2020-07-08,0.1
